camera_id,display_name,brand,series,release_year,reason,candidate_source_name,candidate_source_url,checked_source_urls,last_checked
agfaphoto_realishot_dc8200,AgfaPhoto Realishot DC8200,AgfaPhoto,Realishot,,Legacy camera row had only unknown battery compatibility; moved to unresolved until a source-backed battery mapping is found.,AgfaPhoto Realishot DC8200 user manual,https://www.support.agfaphoto-gtc.com/wp-content/uploads/2022/04/AgfaPhoto_Realishot_DC8200_User_Manual_EnglishFrenchHungarian.pdf,"[""https://www.support.agfaphoto-gtc.com/wp-content/uploads/2022/04/AgfaPhoto_Realishot_DC8200_User_Manual_EnglishFrenchHungarian.pdf""]",2026-05-24
casio_exilim_ex_fh15,Casio Exilim EX-FH15,Casio,Exilim F,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_fh25,Casio Exilim EX-FH25,Casio,Exilim F,2009,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_h20g,Casio Exilim EX-H20G,Casio,Exilim H,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_h60,Casio Exilim EX-H60,Casio,Exilim H,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_j10,Casio Exilim EX-J10,Casio,Exilim J,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_m1,Casio Exilim EX-M1,Casio,Exilim M,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_m2,Casio Exilim EX-M2,Casio,Exilim M,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_m20,Casio Exilim EX-M20,Casio,Exilim M,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_mr1,Casio Exilim EX-MR1,Casio,Exilim M,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_n1,Casio Exilim EX-N1,Casio,Exilim N,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_n10,Casio Exilim EX-N10,Casio,Exilim N,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_n20,Casio Exilim EX-N20,Casio,Exilim N,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_n5,Casio Exilim EX-N5,Casio,Exilim N,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_n50,Casio Exilim EX-N50,Casio,Exilim N,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_p505,Casio Exilim EX-P505,Casio,Exilim P,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_p600,Casio Exilim EX-P600,Casio,Exilim P,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_p700,Casio Exilim EX-P700,Casio,Exilim P,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
casio_exilim_ex_s1,Casio Exilim EX-S1,Casio,Exilim S,,"Camera existence confirmed, battery not yet source-verified",Camera-wiki Casio catalog,https://camera-wiki.org/wiki/Casio,"[""https://camera-wiki.org/wiki/Casio""]",2026-05-24
